model_name,encoder_embed_dim,encoder_ffn_embed_dim,encoder_layers,encoder_attention_heads,encoder_normalize_before,decoder_embed_dim,decoder_ffn_embed_dim,decoder_layers,decoder_attention_heads,decoder_normalize_before,share_all_embeddings,max_tokens,update_freq,lr,dropout,clip_norm,warmup_updates
tiny_v1,32,32,2,2,FALSE,32,32,2,2,FALSE,FALSE,40000,4,5e-4,0.2,5.0,4000
tiny_v2,64,256,4,4,FALSE,64,256,4,4,FALSE,FALSE,2048,4,5e-4,0.2,5.0,4000
tiny_v3,64,512,4,4,FALSE,64,512,4,4,FALSE,FALSE,2048,4,5e-4,0.2,5.0,4000
tiny_v4,128,128,2,2,FALSE,128,128,2,2,FALSE,FALSE,2048,4,5e-4,0.2,5.0,4000
tiny_v5,128,256,2,4,FALSE,128,256,2,4,FALSE,FALSE,2048,4,5e-4,0.2,5.0,4000
tiny_v6,128,512,4,4,FALSE,128,512,4,4,FALSE,FALSE,2048,4,5e-4,0.2,5.0,4000
tiny_v7,256,512,4,4,FALSE,256,512,4,4,FALSE,FALSE,2048,4,5e-4,0.2,5.0,4000
small_v1,256,1024,4,4,FALSE,256,1024,4,4,FALSE,FALSE,2048,2,3e-4,0.15,5.0,4000
small_v2,256,2048,4,4,FALSE,256,2048,4,4,FALSE,FALSE,2048,2,3e-4,0.15,5.0,4000
small_v3,512,1024,4,8,FALSE,512,1024,4,8,FALSE,FALSE,2048,2,3e-4,0.15,5.0,4000
small_v4,512,2048,4,8,FALSE,512,2048,4,8,FALSE,FALSE,2048,2,3e-4,0.15,5.0,4000
base_v1,512,2048,6,8,FALSE,512,2048,6,8,FALSE,FALSE,1024,1,2e-4,0.1,5.0,4000
base_v2,512,3072,6,8,FALSE,512,3072,6,8,FALSE,FALSE,1024,1,2e-4,0.1,5.0,4000
big_v1,768,3072,6,12,FALSE,768,3072,6,12,FALSE,FALSE,1024,1,1e-4,0.1,5.0,4000
big_v2,768,4096,6,12,FALSE,768,4096,6,12,FALSE,FALSE,1024,1,1e-4,0.1,5.0,4000
big_v3,1024,4096,6,16,FALSE,1024,4096,6,16,FALSE,FALSE,1024,1,1e-4,0.1,5.0,4000
large_v1,1024,6144,6,16,FALSE,1024,6144,6,16,FALSE,FALSE,1024,1,1e-4,0.1,5.0,8000
